Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08315056 Horben;852;484;368;0;643;349;3;640;276;147;42;48;50;33;2;;4;20;;;;7;;;8;;;3;;
08315059 Ihringen;4679;2768;1911;0;3315;1809;33;3282;1139;883;211;378;281;120;20;;59;94;;;;35;;;37;;;25;;
08315064 Kirchzarten;7696;4177;3519;0;5867;3378;31;5836;2382;1189;255;745;415;259;43;;58;183;;9;;127;;;91;;;32;48;
08315068 Lenzkirch;3555;2264;1291;0;2249;1221;18;2231;777;470;175;349;189;58;18;;34;80;;7;;29;;;23;;;15;7;
08315070 Löffingen, Stadt;5684;3784;1900;0;3619;1774;26;3593;1169;830;323;413;427;121;25;;48;113;;21;;43;;;9;;;36;15;
08315072 Merdingen;2024;1144;880;0;1439;840;7;1432;436;448;79;197;120;29;13;;15;68;;;;12;;;7;;;8;;
08315073 Merzhausen;4018;1994;2024;0;3067;1915;12;3055;1356;512;115;357;234;252;29;;44;51;;;;44;;;44;;;17;;
08315074 Müllheim, Stadt;13554;9272;4282;0;8345;4047;43;8302;3477;1655;567;838;679;363;71;;150;191;;;;106;;;90;;;115;;
08315076 Neuenburg am Rhein, Stadt;8800;6014;2786;0;5054;2634;48;5006;1745;1256;515;489;468;160;33;;72;139;;;;28;;;37;;;64;;
08315084 Oberried;2120;1119;1001;0;1587;968;10;1577;525;505;64;182;82;42;2;;22;99;;3;;18;;;14;;;16;3;
08315089 Pfaffenweiler;1998;1076;922;0;1478;880;8;1470;576;405;83;144;110;63;7;;21;39;;;;8;;;10;;;4;;
08315094 St. Märgen;1384;795;589;0;1046;534;11;1035;333;382;49;75;77;26;13;;9;31;;3;;26;;;8;;;0;3;
08315095 St. Peter;1963;1210;753;0;1383;726;9;1374;525;359;71;122;87;55;18;;18;50;;3;;28;;;24;;;7;7;
08315098 Schallstadt;4588;2853;1735;0;3170;1632;14;3156;1291;620;196;357;244;118;23;;45;107;;27;;61;;;35;;;14;18;
08315102 Schluchsee;1745;1112;633;0;1083;595;9;1074;354;286;73;136;121;25;6;;9;30;;2;;11;;;8;;;8;5;
08315107 Sölden;969;553;416;0;776;402;1;775;298;207;27;89;51;44;11;;11;13;;;;20;;;3;;;1;;
08315108 Staufen im Breisgau, Stadt;6129;3606;2523;0;4403;2387;33;4370;1965;911;213;462;274;179;38;;43;114;;;;95;;;44;;;32;;
08315109 Stegen;3336;1991;1345;0;2424;1272;8;2416;915;495;154;325;156;94;19;;45;104;;5;;58;;;24;;;11;11;
08315111 Sulzburg, Stadt;2010;1058;952;0;1535;867;19;1516;615;315;93;150;144;67;15;;34;18;;;;29;;;19;;;17;;
08315113 Titisee-Neustadt, Stadt;8364;5866;2498;0;5007;2329;45;4962;1902;1175;401;547;422;173;28;;64;121;;14;;46;;;21;;;34;14;
08315115 Umkirch;3964;2742;1222;0;2205;1143;17;2188;788;456;217;273;180;64;14;;33;100;;8;;24;;;11;;;7;13;
08315125 Wittnau;1117;594;523;0;894;494;6;888;364;196;36;87;91;46;3;;9;21;;;;19;;;14;;;2;;
08315130 Münstertal/Schwarzwald;3769;2241;1528;0;2584;1442;23;2561;1005;722;156;272;176;65;16;;24;59;;;;20;;;18;;;28;;
08315131 Ehrenkirchen;5856;3691;2165;0;4126;2064;25;4101;1538;983;277;393;332;189;42;;75;160;;;;45;;;42;;;25;;
08315132 March;6835;4129;2706;0;4512;2519;25;4487;1738;862;337;536;400;187;37;;59;179;;17;;46;;;46;;;20;23;
08315133 Vogtsburg im Kaiserstuhl, Stadt;4587;2894;1693;0;3281;1607;18;3263;873;1189;226;257;326;86;17;;49;150;;;;29;;;24;;;37;;
08316002 Bahlingen am Kaiserstuhl;3243;1843;1400;0;2205;1317;14;2191;795;489;149;202;318;43;29;;45;77;;;;;;;12;;;26;6;
08316003 Biederbach;1354;774;580;0;894;547;6;888;274;331;62;41;88;18;6;;7;35;;;;;;;6;;;17;3;
08316009 Denzlingen;9980;5941;4039;0;6647;3833;38;6609;2732;1074;431;869;543;289;152;;160;164;;;;;;;95;;;73;27;
08316010 Elzach, Stadt;5665;3340;2325;0;3721;2190;28;3693;1202;1186;222;383;323;73;30;;46;131;;;;;;;28;;;47;22;
08316011 Emmendingen, Stadt;20178;11215;8963;0;12321;8452;69;12252;4939;1959;801;1609;1189;583;161;;314;301;;;;;;;199;;;133;64;
08316012 Endingen am Kaiserstuhl, Stadt;7630;5411;2219;0;4987;2105;39;4948;1611;1200;341;451;747;128;47;;64;263;;;;;;;42;;;36;18;
08316013 Forchheim;1052;680;372;0;707;355;6;701;156;128;58;54;70;18;4;;9;189;;;;;;;1;;;12;2;
08316014 Gutach im Breisgau;3407;2347;1060;0;2261;1010;14;2247;864;565;140;199;188;77;20;;36;82;;;;;;;28;;;38;10;
08316017 Herbolzheim, Stadt;7878;4945;2933;0;4941;2792;35;4906;1606;1190;485;519;439;154;57;;109;199;;;;;;;52;;;84;12;
08316020 Kenzingen, Stadt;7536;4653;2883;0;4741;2752;27;4714;1733;1062;368;558;470;129;47;;75;150;;;;;;;56;;;54;12;
08316024 Malterdingen;2466;1501;965;0;1627;921;15;1612;539;370;154;178;165;52;30;;29;61;;;;;;;9;;;19;6;
08316036 Reute;2310;1309;1001;0;1623;937;12;1611;594;443;92;144;168;46;17;;22;43;;;;;;;14;;;19;9;
08316037 Riegel am Kaiserstuhl;2892;1970;922;0;1870;874;18;1852;680;337;180;222;175;54;14;;33;99;;;;;;;30;;;20;8;
08316038 Sasbach am Kaiserstuhl;2670;1717;953;0;1831;906;20;1811;551;448;144;166;213;43;24;;35;134;;;;;;;24;;;17;12;
08316039 Sexau;2637;1560;1077;0;1877;1029;15;1862;705;375;124;266;160;43;18;;35;82;;;;;;;16;;;25;13;
08316042 Simonswald;2364;1743;621;0;1559;584;21;1538;504;481;112;139;124;28;18;;27;62;;;;;;;12;;;12;19;
08316043 Teningen;9050;5862;3188;0;5657;3043;54;5603;1919;943;391;710;844;196;219;;85;181;;;;;;;50;;;40;25;
08316045 Vörstetten;2372;1336;1036;0;1708;993;13;1695;670;324;84;207;176;59;26;;26;65;;;;;;;25;;;16;17;
08316049 Weisweil;1634;985;649;0;1160;621;12;1148;292;320;99;171;134;33;9;;21;43;;;;;;;9;;;14;3;
08316051 Wyhl am Kaiserstuhl;2943;1982;961;0;1878;894;23;1855;486;529;226;189;145;37;15;;30;159;;;;;;;17;;;12;10;
08316053 Rheinhausen;2816;1387;1429;0;1933;1362;18;1915;477;646;205;164;192;41;40;;32;76;;;;;;;18;;;17;7;
08316054 Freiamt;3379;2069;1310;0;2326;1256;19;2307;676;646;168;233;222;70;32;;25;158;;;;;;;22;;;49;6;
08316055 Winden im Elztal;2180;1406;774;0;1469;734;10;1459;491;401;109;170;166;19;3;;15;48;;;;;;;9;;;21;7;
08316056 Waldkirch, Stadt;15469;9489;5980;0;10099;5632;58;10041;4253;1896;541;1291;782;461;98;;159;190;;;;;;;158;;;136;76;
08317001 Achern, Stadt;18947;12449;6498;0;12032;6181;93;11939;3852;3357;1177;853;1053;326;75;;;606;;;;381;;;125;;;90;44;
08317005 Appenweier;7772;5075;2697;0;4779;2562;48;4731;1690;1195;393;416;437;119;46;;;236;;;;124;;;38;;;23;14;
08317008 Bad Peterstal-Griesbach;1895;1011;884;0;1260;833;11;1249;426;425;72;75;110;20;11;;26;27;;;;35;;;6;;;16;;
08317009 Berghaupten;1902;1118;784;0;1367;755;12;1355;462;376;99;141;109;30;5;;26;37;;;;50;;;10;;;10;;
08317011 Biberach;2865;1795;1070;0;1979;1021;17;1962;642;563;161;155;205;49;10;;37;74;;;;37;;;15;;;14;;
08317021 Durbach;3099;1850;1249;0;2239;1175;18;2221;738;715;161;149;250;27;11;;21;71;;;;53;;;14;;;11;;
08317026 Ettenheim, Stadt;10013;7104;2909;0;6379;2758;62;6317;2352;1461;589;607;558;182;81;;78;223;;21;;70;;;51;;;44;;
08317029 Fischerbach;1321;830;491;0;940;473;7;933;292;356;44;63;88;16;5;;8;31;;3;;16;;;10;;;1;;
08317031 Friesenheim;9843;6555;3288;0;6207;3111;52;6155;2057;1497;551;734;564;146;37;;84;282;;45;;70;;;46;;;42;;
08317034 Gengenbach, Stadt;8263;5689;2574;0;5264;2439;50;5214;1822;1440;310;686;434;133;27;;75;107;;;;128;;;31;;;21;;
08317039 Gutach (Schwarzwaldbahn);1753;1024;729;0;1244;704;24;1220;459;291;109;95;140;33;8;;12;38;;1;;16;;;12;;;6;;
08317040 Haslach im Kinzigtal, Stadt;5394;3465;1929;0;3585;1829;33;3552;1261;1026;208;258;398;103;16;;60;105;;10;;56;;;31;;;20;;
08317041 Hausach, Stadt;4196;2538;1658;0;2677;1606;30;2647;1017;655;213;209;247;67;18;;34;91;;3;;52;;;24;;;17;;
08317046 Hofstetten;1385;962;423;0;1008;409;3;1005;296;404;65;52;97;9;3;;11;38;;2;;11;;;9;;;8;;
08317047 Hohberg;6297;4169;2128;0;4237;2032;32;4205;1476;1109;340;374;388;88;35;;58;184;;;;95;;;27;;;31;;
08317051 Hornberg, Stadt;2824;1873;951;0;1728;906;16;1712;540;450;135;245;161;30;17;;24;61;;8;;24;;;10;;;7;;
08317056 Kappelrodeck;4594;2704;1890;0;3013;1798;40;2973;870;946;318;185;246;54;9;;;184;;;;107;;;18;;;26;10;
08317057 Kehl, Stadt;23611;18207;5404;0;12671;4989;104;12567;4011;2883;1550;1417;1212;476;77;;;453;;;;249;;;91;;;49;99;
08317059 Kippenheim;3919;2695;1224;0;2371;1152;17;2354;685;486;271;258;232;39;17;;50;252;;8;;22;;;18;;;16;;
08317065 Lahr/Schwarzwald, Stadt;31650;24137;7513;0;16006;6993;110;15896;4866;3016;2383;1794;1892;544;74;;266;514;;194;;130;;;126;;;97;;
08317067 Lautenbach;1487;823;664;0;1040;638;3;1037;295;370;67;73;71;11;13;;;58;;;;71;;;4;;;3;1;
08317068 Lauf;3154;1917;1237;0;2082;1179;26;2056;668;644;182;145;153;46;10;;;95;;;;67;;;24;;;17;5;
08317073 Mahlberg, Stadt;3709;2511;1198;0;2145;1133;17;2128;698;484;235;223;185;60;14;;24;123;;3;;33;;;25;;;21;;
08317075 Meißenheim;3052;1841;1211;0;2012;1147;15;1997;642;432;183;311;182;59;15;;35;56;;19;;37;;;23;;;3;;
08317078 Mühlenbach;1303;936;367;0;910;357;5;905;245;350;55;40;126;15;3;;9;31;;0;;19;;;7;;;5;;
08317085 Nordrach;1395;1008;387;0;912;362;11;901;258;268;106;62;124;11;4;;15;25;;;;13;;;4;;;11;;
08317088 Oberharmersbach;1893;1415;478;0;1282;452;16;1266;317;413;177;65;147;23;10;;16;49;;;;26;;;9;;;14;;
08317089 Oberkirch, Stadt;14924;9387;5537;0;9841;5246;66;9775;2975;2776;630;922;775;190;99;;;640;;;;644;;;46;;;37;41;
08317093 Oberwolfach;2032;1308;724;0;1546;696;14;1532;489;525;101;101;151;30;10;;12;52;;5;;33;;;18;;;5;;
08317096 Offenburg, Stadt;43740;31645;12095;0;25073;11303;173;24900;9801;5312;2242;2236;2105;959;137;;585;591;;;;574;;;199;;;159;;
08317097 Ohlsbach;2511;1514;997;0;1815;945;28;1787;718;465;110;141;144;38;16;;26;55;;;;53;;;14;;;7;;
08317098 Oppenau, Stadt;3483;1971;1512;0;2417;1421;14;2403;857;805;135;146;183;43;12;;48;55;;;;81;;;15;;;23;;
08317100 Ortenberg;2689;1536;1153;0;1906;1099;18;1888;733;548;104;147;150;56;7;;30;43;;;;38;;;11;;;21;;
08317102 Ottenhöfen im Schwarzwald;2343;1475;865;3;1510;835;10;1500;418;554;156;77;114;25;10;;;84;;;;42;;;6;;;7;7;
08317110 Renchen, Stadt;5505;3565;1940;0;3355;1798;29;3326;1010;807;301;327;290;90;22;;;262;;;;152;;;27;;;23;15;
08317113 Ringsheim;1758;1111;647;0;1211;620;16;1195;409;340;64;114;124;34;19;;16;44;;4;;11;;;15;;;1;;
08317114 Rust;2767;1731;1036;0;1745;998;14;1731;474;482;161;196;172;48;23;;44;79;;6;;18;;;14;;;14;;
08317116 Sasbach;4018;2679;1339;0;2660;1274;27;2633;856;856;239;145;244;47;23;;;79;;;;87;;;23;;;23;11;
08317118 Sasbachwalden;1939;1192;747;0;1296;718;8;1288;400;420;105;76;117;23;12;;;59;;;;45;;;12;;;12;7;
08317121 Schuttertal;2491;1512;979;0;1722;930;11;1711;544;653;116;111;144;31;8;;25;45;;1;;10;;;16;;;7;;
08317122 Schutterwald;5678;3550;2128;0;3622;2037;29;3593;1394;901;315;280;305;79;22;;57;122;;;;71;;;22;;;25;;
08317126 Seebach;1097;752;345;0;779;334;6;773;184;274;64;30;90;9;9;;;54;;;;38;;;10;;;4;7;
08317127 Seelbach;3819;2410;1409;0;2559;1344;21;2538;963;620;203;273;259;49;11;;33;80;;8;;12;;;18;;;9;;
08317129 Steinach;3044;2049;995;0;2059;951;14;2045;691;694;159;125;184;25;13;;21;71;;4;;28;;;21;;;9;;
08317141 Willstätt;7330;5410;1920;0;4304;1826;50;4254;1257;1060;531;391;456;125;27;;;202;;;;123;;;32;;;26;24;
08317145 Wolfach, Stadt;4328;2873;1455;0;3008;1388;31;2977;1178;770;208;247;269;79;13;;28;86;;5;;54;;;21;;;19;;
08317146 Zell am Harmersbach, Stadt;6181;4414;1767;0;3960;1674;43;3917;1263;1083;394;284;406;114;34;;52;131;;;;120;;;11;;;25;;
08317150 Schwanau;5356;3609;1747;0;3448;1679;26;3422;988;625;401;643;360;74;26;;52;125;;46;;36;;;33;;;13;;
08317151 Neuried;7483;4879;2604;0;4090;2453;22;4068;1499;1075;359;325;379;100;26;;68;129;;;;75;;;18;;;15;;
08317152 Kappel-Grafenhausen;3761;2484;1277;0;2392;1213;18;2374;801;669;190;208;212;58;28;;35;105;;7;;32;;;10;;;19;;
08317153 Rheinau, Stadt;8647;6011;2636;0;5286;2444;48;5238;1667;1225;524;534;753;151;25;;;145;;;;135;;;33;;;25;21;
08325001 Aichhalden;3290;2190;1100;0;2369;1062;23;2346;572;698;281;153;323;61;91;;;81;;;;36;;;12;;;38;;
08325009 Bösingen;2599;1627;972;0;1910;938;33;1877;309;663;242;92;376;33;44;;;47;;;;21;;;20;;;30;;
08325011 Dietingen;3160;1945;1215;0;2143;1164;44;2099;423;642;312;108;381;45;38;;;49;;;;46;;;23;;;32;;
08325012 Dornhan, Stadt;4764;3295;1469;0;3156;1399;17;3139;706;897;430;226;560;75;51;;;99;;;;35;;;17;;;43;;
08325014 Dunningen;4835;2914;1921;0;3423;1836;35;3388;856;1027;418;223;496;60;62;;;117;;;;37;;;30;;;62;;
08325015 Epfendorf;2496;1687;809;0;1733;771;20;1713;399;446;234;85;403;47;20;;;37;;;;13;;;15;;;14;;
08325024 Hardt;2013;1249;764;0;1560;741;17;1543;417;477;168;86;257;28;29;;;40;;;;17;;;5;;;19;;
08325036 Lauterbach;2115;1358;757;0;1438;725;12;1426;475;417;114;81;228;19;14;;;31;;;;29;;;3;;;15;;
08325045 Oberndorf am Neckar, Stadt;9881;7286;2595;0;5889;2464;58;5831;1377;1382;848;424;1128;230;126;;;151;;;;62;;;42;;;61;;
08325049 Rottweil, Stadt;17733;11895;5837;1;10966;5466;94;10872;3368;2652;1293;805;1723;311;125;;;218;;;;107;;;159;;;111;;
08325050 Schenkenzell;1382;927;455;0;976;438;8;968;313;330;50;75;116;17;15;;;34;;;;7;;;3;;;8;;
08325051 Schiltach, Stadt;2937;2107;830;0;1867;778;15;1852;685;414;163;195;216;59;25;;;52;;;;19;;;12;;;12;;
08325053 Schramberg, Stadt;14798;9689;5109;0;8841;4824;90;8751;2493;2186;1054;744;1113;256;269;;;280;;;;128;;;66;;;162;;
08325057 Sulz am Neckar, Stadt;8930;6540;2390;0;5505;2265;48;5457;1358;1380;792;397;929;151;62;;;197;;;;107;;;38;;;46;;
08325060 Villingendorf;2488;1566;922;0;1715;887;13;1702;382;503;179;104;311;49;46;;;48;;;;39;;;15;;;26;;
08325061 Vöhringen;3228;2335;893;0;2003;854;25;1978;401;539;318;101;364;52;23;;;103;;;;46;;;15;;;16;;
08325064 Wellendingen;2248;1507;741;0;1351;697;8;1343;318;423;196;78;221;22;17;;;31;;;;19;;;7;;;11;;
08325069 Zimmern ob Rottweil;4766;3106;1660;0;3154;1573;25;3129;794;917;401;195;495;84;38;;;81;;;;43;;;21;;;60;;
08325070 Fluorn-Winzeln;2392;1735;657;0;1645;634;13;1632;301;434;246;113;292;29;120;;;38;;;;21;;;14;;;24;;
08325071 Eschbronn;1643;1065;578;0;1194;537;8;1186;316;288;189;78;191;18;21;;;26;;;;34;;;6;;;19;;
08325072 Deißlingen;4499;3024;1475;0;2873;1412;29;2844;681;636;400;412;442;61;39;;;86;;;;37;;;18;;;32;;
08326003 Bad Dürrheim, Stadt;9898;6310;3588;0;6176;3394;67;6109;2010;1483;779;492;795;100;39;;;201;;;;47;;;46;;;84;33;
08326005 Blumberg, Stadt;7102;5380;1722;0;4113;1611;46;4067;826;1351;569;274;614;95;28;;;164;;;;30;;;22;;;65;29;
08326006 Bräunlingen, Stadt;4305;2862;1443;0;2917;1377;28;2889;1059;703;269;216;396;45;32;;;68;;;;33;;;15;;;35;18;
08326010 Dauchingen;2841;1646;1195;0;1956;1147;14;1942;624;537;206;159;244;23;16;;;58;;;;13;;;20;;;31;11;
08326012 Donaueschingen, Stadt;15661;10354;5307;0;9658;5003;85;9573;2842;2178;1031;674;1901;234;97;;;221;;;;108;;;88;;;126;73;
08326017 Furtwangen im Schwarzwald, Stadt;6238;4220;2018;0;3850;1877;40;3810;1587;769;297;263;434;103;42;;;87;;;;108;;;35;;;43;42;
08326020 Gütenbach;891;686;205;0;582;196;7;575;227;139;63;39;58;11;14;;;13;;;;3;;;2;;;5;1;
08326027 Hüfingen, Stadt;5539;3922;1617;0;3524;1530;42;3482;1013;906;354;256;586;78;28;;;120;;;;29;;;51;;;50;11;
08326031 Königsfeld im Schwarzwald;4609;2498;2111;0;3303;1973;22;3281;1334;689;277;283;296;82;49;;;93;;;;77;;;40;;;43;18;
08326037 Mönchweiler;2308;1452;856;0;1536;823;14;1522;561;357;176;123;183;32;9;;;36;;;;14;;;15;;;9;7;
08326041 Niedereschach;4587;3020;1567;0;3059;1479;23;3036;1055;778;325;193;341;63;24;;;93;;;;55;;;40;;;49;20;
08326052 St. Georgen im Schwarzwald, Stadt;9038;6187;2851;0;5653;2704;63;5590;2080;1140;517;546;681;137;51;;;213;;;;70;;;38;;;70;47;
08326054 Schönwald im Schwarzwald;1941;1182;759;0;1163;719;21;1142;380;287;119;86;145;23;5;;;35;;;;18;;;6;;;23;15;
08326055 Schonach im Schwarzwald;3029;1498;1531;0;2024;1455;24;2000;691;607;173;110;225;18;17;;;87;;;;25;;;5;;;18;24;
08326060 Triberg im Schwarzwald, Stadt;3117;1988;1129;0;1819;1064;21;1798;571;500;188;136;231;38;9;;;54;;;;21;;;12;;;21;17;
08326061 Tuningen;2113;1337;776;0;1386;750;14;1372;432;321;179;125;173;36;13;;;44;;;;9;;;11;;;19;10;
08326065 Unterkirnach;1751;944;807;0;1163;767;7;1156;431;250;136;68;174;26;1;;;28;;;;21;;;12;;;6;3;
08326068 Vöhrenbach, Stadt;2652;1837;815;0;1569;781;17;1552;594;343;141;126;176;47;14;;;47;;;;27;;;8;;;20;9;
08326074 Villingen-Schwenningen, Stadt;55561;40810;14751;0;31123;13855;256;30867;10207;6463;3943;3323;3800;875;208;;;839;;;;306;;;258;;;470;175;
08326075 Brigachtal;4004;2555;1449;0;2715;1389;17;2698;874;715;277;222;338;35;18;;;80;;;;37;;;31;;;44;27;
08327002 Aldingen;5280;4064;1216;0;2753;1164;30;2723;722;728;464;210;272;88;29;;;109;;;;24;;;24;;;35;18;
08327004 Bärenthal;346;227;119;0;261;113;8;253;72;86;39;12;27;3;1;;;7;;;;2;;;1;;;1;2;
08327005 Balgheim;883;557;326;0;603;321;9;594;169;192;88;26;53;18;6;;;21;;;;4;;;5;;;7;5;
08327006 Böttingen;1043;534;509;0;746;488;20;726;155;275;112;33;98;13;9;;;15;;;;4;;;5;;;6;1;
08327007 Bubsheim;791;601;190;0;446;179;5;441;84;176;89;19;49;8;3;;;9;;;;1;;;0;;;3;0;
08327008 Buchheim;529;379;150;0;403;143;5;398;108;154;50;16;35;8;6;;;11;;;;1;;;1;;;8;0;
08327009 Deilingen;1249;726;523;0;864;504;8;856;210;362;96;34;114;14;4;;;8;;;;6;;;4;;;2;2;
08327010 Denkingen;2016;1261;755;0;1252;724;23;1229;300;430;169;45;160;26;16;;;31;;;;20;;;12;;;15;5;
08327011 Dürbheim;1250;702;548;0;860;523;4;856;237;330;101;34;91;23;6;;;18;;;;7;;;7;;;0;2;
08327012 Durchhausen;725;505;220;0;493;209;6;487;123;131;84;42;61;10;3;;;14;;;;6;;;3;;;6;4;
08327013 Egesheim;420;335;85;0;269;84;4;265;32;141;40;2;25;5;0;;;7;;;;5;;;0;;;7;1;
08327016 Fridingen an der Donau, Stadt;2273;1134;1139;0;1557;1103;17;1540;457;549;164;100;139;37;11;;;44;;;;6;;;8;;;15;10;
08327017 Frittlingen;1447;773;674;0;1014;651;14;1000;281;353;92;57;121;26;17;;;20;;;;5;;;9;;;15;4;
08327018 Geisingen, Stadt;4503;3130;1373;0;2706;1300;21;2685;632;831;296;186;480;67;22;;;87;;;;29;;;24;;;19;12;
08327019 Gosheim;2567;1674;893;0;1547;844;10;1537;267;582;235;72;219;32;18;;;39;;;;31;;;10;;;22;10;
08327020 Gunningen;572;375;197;0;373;191;9;364;91;113;43;16;51;14;2;;;11;;;;14;;;2;;;4;3;
08327023 Hausen ob Verena;593;383;210;0;414;205;5;409;155;93;50;31;48;10;2;;;11;;;;5;;;4;;;0;0;
08327025 Immendingen;4290;2775;1515;0;2611;1452;36;2575;696;775;384;198;264;66;16;;;76;;;;29;;;16;;;33;22;
08327027 Irndorf;560;328;232;0;421;219;3;418;111;147;49;24;48;14;2;;;9;;;;5;;;3;;;3;3;
08327029 Königsheim;427;278;149;0;309;148;4;305;59;144;25;9;44;3;0;;;9;;;;1;;;1;;;4;6;
08327030 Kolbingen;982;533;449;0;714;433;13;701;168;264;74;43;95;12;7;;;17;;;;5;;;4;;;7;5;
08327033 Mahlstetten;623;323;300;0;434;292;14;420;114;140;35;28;41;13;7;;;21;;;;9;;;2;;;5;5;
08327036 Mühlheim an der Donau, Stadt;2784;1420;1364;0;1971;1297;21;1950;619;587;218;152;211;39;31;;;36;;;;21;;;16;;;13;7;
08327038 Neuhausen ob Eck;2871;2021;850;0;1704;800;14;1690;506;464;246;105;208;49;6;;;46;;;;23;;;12;;;13;12;
08327040 Reichenbach am Heuberg;320;236;84;0;198;83;3;195;48;64;40;10;19;5;0;;;1;;;;3;;;0;;;2;3;
08327041 Renquishausen;582;351;231;0;458;228;8;450;86;165;65;15;69;6;7;;;15;;;;6;;;2;;;10;4;
08327046 Spaichingen, Stadt;8903;5897;3006;0;5239;2848;20;5219;1597;1494;703;326;673;128;42;;;103;;;;51;;;37;;;31;34;
08327048 Talheim;957;633;324;0;612;314;5;607;158;208;66;51;62;23;3;;;18;;;;7;;;3;;;7;1;
08327049 Trossingen, Stadt;10762;6950;3812;0;5461;3634;33;5428;1534;1420;830;406;676;174;44;;;153;;;;53;;;50;;;49;39;
08327050 Tuttlingen, Stadt;21981;15840;6141;0;12170;5804;122;12048;4084;3123;1517;1008;1285;358;73;;;232;;;;95;;;65;;;120;88;
08327051 Wehingen;2285;1517;768;0;1331;727;16;1315;288;480;200;66;177;32;8;;;30;;;;16;;;3;;;15;0;
08327054 Wurmlingen;2891;1520;1371;0;1972;1322;15;1957;575;678;204;146;199;38;10;;;43;;;;23;;;8;;;18;15;
08327055 Seitingen-Oberflacht;1829;1060;769;0;1229;733;2;1227;332;387;148;104;159;27;4;;;33;;;;5;;;9;;;17;2;
08327056 Rietheim-Weilheim;2074;1337;737;0;1359;703;16;1343;385;393;151;95;204;28;9;;;27;;;;10;;;8;;;23;10;
08327057 Emmingen-Liptingen;3514;2102;1412;0;2271;1351;26;2245;563;650;345;147;305;59;17;;;67;;;;36;;;22;;;26;8;
08335001 Aach, Stadt;1690;1108;582;0;1044;556;14;1030;321;188;162;124;127;22;7;;17;27;;;;12;;;3;;;20;;
08335002 Allensbach;5424;3005;2419;0;3916;2322;18;3898;1638;930;226;317;406;123;20;;61;114;;;;;;;17;;;32;14;
08335015 Büsingen am Hochrhein;819;635;184;0;370;170;2;368;136;95;53;19;32;8;5;;5;7;;;;1;;;3;;;4;;
08335021 Eigeltingen;2839;1882;957;0;1830;893;14;1816;546;423;199;162;257;44;13;;45;53;;;;23;;;14;;;37;;
08335022 Engen, Stadt;7929;5316;2613;0;4839;2475;42;4797;1601;1067;497;605;522;132;32;;65;136;;;;60;;;25;;;55;;
08335025 Gaienhofen;2503;1237;1266;0;1759;1170;10;1749;578;420;118;104;233;31;4;;24;197;;;;;;;12;;;18;10;
08335026 Gailingen am Hochrhein;2004;1401;603;0;1298;585;9;1289;474;283;100;108;141;38;10;;29;50;;;;21;;;6;;;29;;
08335028 Gottmadingen;7624;4672;2952;0;4352;2798;27;4325;1539;812;456;561;494;113;21;;81;140;;;;43;;;35;;;30;;
08335035 Hilzingen;6569;4534;2035;0;4167;1921;27;4140;1279;925;455;529;533;116;13;;81;119;;;;39;;;25;;;26;;
08335043 Konstanz, Universitätsstadt;61066;33938;27127;1;36988;25528;129;36859;16973;6115;1861;3340;3360;2518;210;;594;654;;;;;;;527;;;318;389;
08335055 Moos;2612;1583;1029;0;1932;965;4;1928;702;350;169;119;269;44;9;;39;181;;;;;;;10;;;27;9;
08335057 Mühlingen;1821;1460;361;0;1084;349;14;1070;372;254;110;78;126;28;7;;28;42;;;;17;;;3;;;5;;
08335061 Öhningen;2830;1725;1105;0;1938;1042;16;1922;672;446;159;89;276;59;10;;34;103;;;;;;;17;;;53;4;
08335063 Radolfzell am Bodensee, Stadt;22914;14402;8512;0;14715;8034;114;14601;5236;2567;1019;1155;2808;560;91;;267;508;;;;;;;133;;;185;72;
08335066 Reichenau;3889;2258;1631;0;2738;1542;24;2714;1009;738;143;193;337;80;21;;28;120;;;;;;;17;;;21;7;
08335075 Singen (Hohentwiel), Stadt;28893;22807;6086;0;14007;5669;122;13885;3995;2781;1957;2138;1535;531;68;;243;321;;;;104;;;60;;;152;;
08335077 Steißlingen;3766;2244;1522;0;2566;1444;19;2547;869;620;229;277;267;77;11;;47;93;;;;17;;;12;;;28;;
08335079 Stockach, Stadt;12300;8552;3748;0;7268;3529;69;7199;2452;1571;695;689;883;243;56;;137;222;;;;121;;;56;;;74;;
08335080 Tengen, Stadt;3480;2420;1060;0;2295;1001;26;2269;727;533;210;250;280;71;12;;51;89;;;;11;;;11;;;24;;
08335081 Volkertshausen;2254;1485;769;0;1490;731;14;1476;437;271;186;252;170;29;10;;22;65;;;;14;;;3;;;17;;
08335096 Hohenfels;1557;1114;443;0;1036;418;14;1022;346;236;110;68;118;23;15;;18;35;;;;29;;;12;;;12;;
08335097 Mühlhausen-Ehingen;2898;1649;1249;0;1966;1190;19;1947;562;493;208;270;200;52;17;;54;51;;;;16;;;4;;;20;;
