Gemeinde;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08118063 Pleidelsheim;4163;2267;1896;0;2767;1805;18;2749;970;610;234;351;311;64;12;;44;71;;;;31;11;;8;;;22;10;
08118067 Schwieberdingen;7556;4558;2998;0;5251;2867;29;5222;1795;1344;433;540;564;120;31;;75;186;;;;58;;;18;;;32;26;
08118068 Sersheim;3836;2407;1429;0;2659;1378;19;2640;840;542;257;226;250;45;15;;32;383;;;;18;;;7;;;16;9;
08118070 Steinheim an der Murr, Stadt;8550;5447;3103;0;5749;2928;38;5711;1882;1437;529;659;650;154;26;;76;165;;;;55;11;;22;;;18;27;
08118071 Tamm;9039;5723;3315;1;6352;3196;43;6309;2112;1544;670;721;663;145;44;;94;203;;;;55;;;26;;;32;;
08118073 Vaihingen an der Enz, Stadt;20061;12299;7762;0;14121;7395;90;14031;4790;3309;1325;1231;1659;379;98;;220;555;;;;162;;;102;;;148;53;
08118074 Walheim;2383;1419;964;0;1580;923;9;1571;578;408;135;110;146;50;9;;32;58;;;;12;5;;11;;;8;9;
08118076 Sachsenheim, Stadt;12852;8253;4599;0;8379;4396;37;8342;2905;1994;880;726;867;195;45;;112;365;;;;83;;;32;;;87;51;
08118077 Ingersheim;4397;2907;1490;0;2995;1409;18;2977;1045;701;292;304;354;70;10;;30;78;;;;19;8;;23;;;25;18;
08118078 Freiberg am Neckar, Stadt;11531;6235;5296;0;7975;5095;32;7943;2765;1873;697;988;832;203;52;;119;212;;;;59;24;;46;;;25;48;
08118079 Bietigheim-Bissingen, Stadt;28481;19959;8522;0;17897;8099;82;17815;6217;4063;1630;1888;1978;580;84;;269;457;;;;159;99;;106;;;141;144;
08118080 Korntal-Münchingen, Stadt;12613;7467;5146;0;9016;4914;46;8970;3208;2390;578;840;1037;273;96;;111;254;;;;52;;;44;;;34;53;
08118081 Remseck am Neckar, Stadt;17732;12119;5613;0;11624;5303;51;11573;3431;2762;1126;1637;1520;316;48;;152;346;;;;105;;;56;;;74;;
08119001 Alfdorf;5461;3806;1655;0;3681;1580;23;3658;890;922;519;432;413;101;22;89;30;122;;;;53;;;25;;;40;;
08119003 Allmersbach im Tal;3746;2397;1349;0;2262;1260;12;2250;576;526;280;435;236;38;8;13;35;37;;;;21;;;9;;;36;;
08119004 Althütte;3324;2181;1143;0;2265;1082;14;2251;498;508;367;349;251;62;19;31;45;55;;;;29;;;13;;;24;;
08119006 Auenwald;5257;3434;1823;0;3629;1728;43;3586;761;865;415;779;450;57;27;27;73;48;;;;44;;;20;;;20;;
08119008 Backnang, Stadt;24093;17258;6835;0;14965;6301;83;14882;3539;2988;1513;3835;1611;360;80;92;299;190;;;;176;;;111;;;88;;
08119018 Burgstetten;2668;1743;925;0;1856;892;9;1847;531;424;186;283;206;57;12;13;40;42;;;;32;;;10;;;11;;
08119020 Fellbach, Stadt;28716;18666;10050;0;19059;9534;104;18955;5799;4481;1316;2270;2260;572;118;;240;1445;;;;125;;;134;;;126;;69
08119024 Großerlach;1959;1435;524;0;1139;507;4;1135;230;261;217;145;118;40;16;8;22;28;;;;31;;;3;;;16;;
08119037 Kaisersbach;1916;1255;661;0;1255;623;10;1245;287;351;149;160;129;17;14;64;11;30;;;;17;;;3;;;13;;
08119038 Kirchberg an der Murr;2730;1857;873;0;1944;830;11;1933;479;505;290;235;171;57;17;18;35;46;;;;30;;;10;;;40;;
08119041 Korb;7577;4719;2858;0;5100;2718;36;5064;1406;1449;403;477;760;126;20;;47;214;;;;63;;;32;;;29;;38
08119042 Leutenbach;8263;5407;2856;0;5492;2733;24;5468;1633;1408;513;613;655;173;33;;67;220;;;;42;;;29;;;59;;23
08119044 Murrhardt, Stadt;9647;7024;2623;0;5559;2492;46;5513;1319;1671;608;1084;333;143;32;40;73;69;;;;72;;;29;;;40;;
08119053 Oppenweiler;3134;2032;1102;0;2079;1028;8;2071;620;462;188;396;193;55;15;25;41;21;;;;34;;;15;;;6;;
08119055 Plüderhausen;6715;4817;1898;0;4371;1817;28;4343;1094;1115;530;483;708;126;42;;53;84;;;;71;;;22;;;15;;
08119061 Rudersberg;8410;4892;3518;0;5501;3312;30;5471;1399;1377;802;564;812;121;42;;73;122;;;;88;;;29;;;42;;
